date,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,total_storeConfirm
2021-09-22,51,2,0,0,,0,15,124283,0,115956,5690,,8883,2637
2021-09-23,65,1,0,0,,0,24,124348,0,115995,5690,,8907,2663
2021-09-24,55,2,0,0,,0,28,124403,0,116023,5690,,8935,2690
2021-09-25,44,0,0,0,,0,20,124447,0,116062,5690,,8955,2695
2021-09-26,51,0,0,0,,0,22,124498,0,116099,5690,,8977,2709
2021-09-27,44,0,0,0,,0,18,124542,0,116165,5691,,8995,2686
2021-09-28,49,0,0,0,,0,14,124591,0,116227,5691,,9009,2673
2021-09-29,38,1,0,0,,0,16,124629,0,116294,5691,,9025,2644
2021-09-30,44,2,0,0,,0,24,124673,0,116344,5691,,9049,2638
2021-10-01,56,0,0,0,,0,39,124729,0,116389,5692,,9088,2648
2021-10-02,43,0,0,0,,0,26,124772,0,116442,5692,,9114,2638
2021-10-03,33,0,0,0,,0,26,124805,0,116491,5692,,9140,2622
2021-10-04,39,1,0,0,,0,26,124843,0,116524,5693,,9166,2626
2021-10-05,41,0,0,0,,0,24,124884,0,116573,5693,,9190,2618
2021-10-06,36,1,0,0,,0,25,124920,0,116630,5693,,9215,2597
2021-10-07,34,0,0,0,,0,22,124954,0,116683,5693,,9237,2578
2021-10-08,17,1,0,0,,0,17,124987,0,116723,5694,,9254,2570
2021-10-09,36,0,0,0,,0,24,125023,0,116783,5695,,9278,2545
2021-10-10,32,0,0,0,,0,25,125055,0,116827,5695,,9303,2533
2021-10-11,30,0,0,0,,0,12,125085,0,116889,5695,,9315,2501
2021-10-12,30,1,0,0,,0,22,125115,0,116938,5695,,9337,2482
2021-10-13,28,0,0,0,,0,20,125143,0,116980,5695,,9357,2468
2021-10-14,19,1,0,0,,0,10,125162,0,117075,5695,,9367,2392
2021-10-15,27,0,0,0,,0,14,125189,0,117133,5695,,9381,2361
2021-10-16,37,0,0,0,,0,19,125226,0,117164,5695,,9400,2372
2021-10-17,28,0,0,0,,0,22,125254,0,117194,5695,,9422,2365
2021-10-18,36,1,0,0,,0,16,125284,0,117223,5695,,9438,2366
2021-10-19,38,0,0,0,,0,13,125322,0,117266,5695,,9451,2361
2021-10-20,48,0,0,0,,0,8,125351,0,117305,5695,,9459,2351
2021-10-21,51,0,0,0,,0,15,125402,0,117325,5695,,9474,2382
2021-10-22,63,1,0,0,,0,12,125462,0,117350,5695,,9486,2417
2021-10-23,73,0,0,0,,0,17,125518,0,117382,5695,,9503,2441
2021-10-24,47,1,0,0,,0,4,125565,0,117415,5695,,9507,2455
2021-10-25,75,1,0,0,,0,14,125620,0,117432,5696,,9521,2492
2021-10-26,70,0,0,0,,0,9,125686,0,117457,5696,,9530,2533
2021-10-27,58,0,0,0,,0,16,125738,0,117484,5696,,9546,2558
2021-10-28,72,0,0,0,,0,16,125810,0,117512,5696,,9562,2602
2021-10-29,88,0,0,0,,0,19,125898,0,117528,5696,,9581,2674
2021-10-30,81,3,0,0,,0,23,125979,0,117550,5696,,9604,2733
2021-10-31,99,1,0,0,,0,33,126078,0,117587,5696,,9637,2795
2021-11-01,77,2,0,0,,0,17,126155,0,117615,5696,,9654,2844
2021-11-02,115,1,0,0,,0,16,126270,0,117638,5696,,9670,2936
2021-11-03,114,3,0,0,,0,17,126384,0,117662,5696,,9687,3026
2021-11-04,87,1,0,0,,0,10,126471,0,117692,5696,,9697,3083
2021-11-05,63,0,0,0,,0,15,126534,0,117735,5696,,9712,3103
2021-11-06,82,2,0,0,,0,24,126616,0,117782,5696,,9736,3138
2021-11-07,94,0,0,0,,0,24,126710,0,117838,5696,,9760,3176
2021-11-08,65,0,0,0,,0,19,126775,0,117880,5696,,9779,3199
2021-11-09,61,1,0,0,,0,15,126836,0,117934,5697,,9794,3205
2021-11-10,72,0,0,0,,0,15,126908,0,117972,5697,,9809,3239
2021-11-11,110,0,0,0,,0,19,127018,0,118038,5697,,9828,3283
2021-11-12,75,1,0,0,,0,18,127104,0,118119,5697,,9846,3288
2021-11-13,95,0,0,0,,0,19,127199,0,118182,5697,,9865,3320
2021-11-14,61,2,0,0,,0,20,127260,0,118240,5697,,9885,3323
2021-11-15,37,1,0,0,,0,11,127297,0,118316,5697,,9896,3284
2021-11-16,34,2,0,0,,0,23,127331,0,118392,5697,,9919,3242
2021-11-17,43,0,0,0,,0,29,127374,0,118452,5697,,9948,3225
2021-11-18,31,0,0,0,,0,16,127405,0,118508,5697,,9964,3200
2021-11-19,34,0,0,0,,0,20,127439,0,118581,5697,,9984,3161
2021-11-20,24,1,0,0,,0,13,127463,0,118660,5697,,9997,3106
